sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
[NEUTRAL] always loved the ocean .,He got one right on the beach .,He decided to buy a vacation home.,[NEUTRAL] spent a lot of time there .,He would vacation at the beach often.,"vacation,spent","beach, vacation, vacation, beach",0.0,"vacation,spentbeach, vacation, vacation, beach"
I followed it as it went towards the hole.,We thought we would take the kids to mini golf.,My seven year old was ready to hit the ball .,They were so excited to go.,Then all of a sudden I saw it fall in the hole.,"mini,fall,hit,thought,saw","hit, excited, sudden, fall",2.0,"mini,fall,hit,thought,sawhit, excited, sudden, fall"
The boy hid under the bed.,The boy screamed out.,The sound scared the boy.,His brother jumped up in surprise.,His brother jumped on top of it.,"screamed,scared,jumped","boy, boy, surprise",0.0,"screamed,scared,jumpedboy, boy, surprise"
His parents drove and he rode in the back for 1000 miles !,My boyfriend in high school was crazy.,"In order to make it back , my boyfriend rented a Uhaul .",His family was on vacation and their car broke down.,We had only been dating 1 month when it was Christmas .,"rented,dating,broke","crazy, vacation, broke",0.0,"rented,dating,brokecrazy, vacation, broke"
She started to make the pizza dough.,She rolled it out and added toppings.,He loves pizza.,"When it was done, it was delicious!",[NEUTRAL] wanted to cook for her husband .,"rolled,cook,loves",delicious,2.0,"rolled,cook,lovesdelicious"
While she was driving she realized that she was lost!,She looked up the address and thought she knew how to get there.,In the end she found her way to her friend's new house.,Amy was going to visit her friend who just moved .,Luckily she had her phone and she used the GPS to get back on track.,"visit,moved,used,knew,thought,looked","found, friend, friend",2.0,"visit,moved,used,knew,thought,lookedfound, friend, friend"
Troy hit the ball out of the park.,"One day , his coach decided to put him in .","Waiting to bat, Troy became nervous.",The ball flew at him through the air.,Troy was always on the bench during his baseball games .,"Waiting,bat,flew,became,put",nervous,2.0,"Waiting,bat,flew,became,putnervous"
Jerry got lost during the walk to his last period.,He didn't know where to find the class and ended up moving in a circle.,"However, he was late to the class.","Since the bell is going to ring in several seconds , he speed walked .",Someone was kind enough to show where he needed to go.,"speed,ring,show,moving,ended,needed,know,walked","late, kind",1.0,"speed,ring,show,moving,ended,needed,know,walkedlate, kind"
She shaved his back.,She asked him to shave it.,His girlfriend would joke about it.,He said yes.,[NEUTRAL] had a hairy back .,"joke,shave,said,asked",hairy,2.0,"joke,shave,said,askedhairy"
[NEUTRAL] promised he would feed the fish every day and clean its tank .,"He took great care of his fish, just like his parents had told him to.","His parents said yes, if he took care of it himself.",[NEUTRAL] asked his parents for permission to buy a goldfish .,[NEUTRAL] went to the pet store and chose the biggest goldfish they had .,"chose,said,asked",like,2.0,"chose,said,askedlike"
[NEUTRAL] asked her older brother to come .,[NEUTRAL] wanted to go swimming .,No one wanted to come with her.,They went to the beach.,She called her friends to ask them to come with her.,"called,ask",beach,2.0,"called,askbeach"
He went to the bathroom.,He threw up.,Some uncles shared a Thanksgiving meal .,They ate a lot of meat.,One of them felt really sick .,"shared,threw,felt,ate",sick,2.0,"shared,threw,felt,atesick"
Daniel was doing laundry .,Daniel did just that and replaced it within minutes .,He was able to finish doing laundry.,He got done with one load and ran out of detergent .,He had to run to the store to get more.,"replaced,finish,run,ran",,2.0,"replaced,finish,run,ran"
The snow fell over the small town overnight.,The man got into his car and drove to work.,He hopped out of bed and began to clear it off.,A man woke up to find his car covered in snow.,When he was done he shoveled out his driveway as well.,"shoveled,clear,covered,hopped,woke,began,work",,1.0,"shoveled,clear,covered,hopped,woke,began,work"
But her hair always got everywhere.,It was very long and got down my throat.,One day I found one of her hairs in my soup .,It was black and soft.,There was a girl who had very long hair.,,"found, black",2.0,"found, black"
Last night we played truth or dare .,I looked in the water and their was a big alligator.,I was about to jump in the lake and I heard Something.,[NEUTRAL] dared me to jump in the lake .,It was my turn and I picked a dare.,"dared,Something,jump,heard,picked,looked","jump, jump",1.0,"dared,Something,jump,heard,picked,lookedjump, jump"
[NEUTRAL] was standing in the bank .,"Suddenly, he dropped it.","While he waited, he was using his phone.","When [NEUTRAL] picked it up , he saw that it was broken .",It crashed to the floor.,"crashed,dropped,using,broken,waited,picked,saw",broken,1.0,"crashed,dropped,using,broken,waited,picked,sawbroken"
She got some more paint from the store.,[NEUTRAL] gave her cousin her painting .,Her cousin loved it.,[NEUTRAL] wanted to paint Something for her cousin .,She started to paint a picture.,"paint,Something,gave,started,loved",loved,2.0,"paint,Something,gave,started,lovedloved"
They had a huge accident.,"But, the car didn't use brakes fast enough.",He cut the car off.,He didn't see the car on the side of him.,The man in the red car was driving fast.,"cut,use,driving,see",,2.0,"cut,use,driving,see"
I visited [NEUTRAL] and asked him to help me build some handrails .,The county inspectors visited our trailer park.,So [NEUTRAL] came over to my place with some wood and some tools .,Then [NEUTRAL] and I built a really stable set of handrails for my steps .,One of them told me I had to put handrails on my steps .,"built,visited,put",,2.0,"built,visited,put"
I told her yes and she was kind enough to take me home.,A teacher asked me if I needed a ride home.,"A few hours later , the school closed down .",She said that she had an important meeting and wasn't able to come.,I called my mom to pick me up from school.,"closed,called,pick,needed,said,asked",,1.0,"closed,called,pick,needed,said,asked"
One day he decided to ask her out .,[NEUTRAL] and [NEUTRAL] have been dating ever since .,[NEUTRAL] was too shy to talk to her .,She said that she would love to go out!,[NEUTRAL] had a crush on [NEUTRAL] .,"dating,talk,said,love",love,2.0,"dating,talk,said,lovelove"
It really hurt.,My hair was really tangled this morning .,I brushed out my hair.,But now my hair looks nice.,I went to the store and bought a better brush.,"tangled,brushed,looks",,2.0,"tangled,brushed,looks"
He became the smartest in his school.,Parker knew that doing well in school was important .,He studied every single day .,Parker also got the highest grades in the school .,"At the end, his parents became very happy.","studied,became,knew","highest, happy",2.0,"studied,became,knewhighest, happy"
I went outside to check the mail.,I do not like bees much.,The bees left me alone.,I did not get stung by bees.,There were bees outside.,"stung,like,left",like,2.0,"stung,like,leftlike"
